judet,totalsomeridincare:,farastudii,invatamantprimar,invatamantgimnazial,invatamantliceal,invatamantposticeal,invatamantprofesional/artesimeserii,invatamantuniversitar,origin,judet.1,numartotalsomeri,numartotalsomerifemei,numartotalsomeribarbati,numartotalsomeridinmediulurban,numarsomerifemeidinmediulurban,numarsomeribarbatidinmediulurban,numartotalsomeridinmediulrural,numarsomerifemeidinmediulrural,numarsomeribarbatidinmediulrural,origin.1,judet.2,numartotalsomeri.1,numartotalsomerifemei.1,numartotalsomeribarbati.1,numarsomeriindemnizati,numarsomerineindemnizati,ratasomajului(%),ratasomajuluifeminina(%),ratasomajuluimasculina(%),origin.2,judet.3,total,sub25ani,2529ani,3039ani,4049ani,5055ani,peste55ani,origin.3,year,month,yearmonth
teleorman,10899,500,1470,5830,1577,72,1394,56,19-01-educatie,teleorman,10899,4329,6570,2402,1138,1264,8497,3191,5306,19-01-medii,teleorman,10899,4329,6570,1554,9345,7.4,6.07,8.64,19-01-rata,teleorman,10899,935,575,1883,3054,2145,2307,19-01-varsta,2019,1,201901
timis,2867,488,275,501,510,45,568,480,19-01-educatie,timis,2867,1491,1376,1392,756,636,1475,735,740,19-01-medii,timis,2867,1491,1376,1355,1512,0.82,0.95,0.71,19-01-rata,timis,2867,251,165,542,854,485,570,19-01-varsta,2019,1,201901
tulcea,3234,0,574,1717,534,0,382,27,19-01-educatie,tulcea,3234,1400,1834,818,466,352,2416,934,1482,19-01-medii,tulcea,3234,1400,1834,1024,2210,3.83,3.54,4.08,19-01-rata,tulcea,3234,473,144,483,877,645,612,19-01-varsta,2019,1,201901
valcea,5029,239,639,1439,1188,171,1031,322,19-01-educatie,valcea,5029,2383,2646,1729,910,819,3300,1473,1827,19-01-medii,valcea,5029,2383,2646,1791,3238,3.14,3.42,2.92,19-01-rata,valcea,5029,508,266,959,1442,991,863,19-01-varsta,2019,1,201901
vaslui,11653,458,2229,4451,1051,68,3318,78,19-01-educatie,vaslui,11653,4484,7169,1405,628,777,10248,3856,6392,19-01-medii,vaslui,11653,4484,7169,1248,10405,8.47,6.87,9.92,19-01-rata,vaslui,11653,613,353,1992,4116,2211,2368,19-01-varsta,2019,1,201901
vrancea,5635,507,1540,820,731,213,1665,159,19-01-educatie,vrancea,5635,2306,3329,1139,520,619,4496,1786,2710,19-01-medii,vrancea,5635,2306,3329,879,4756,4.1,3.58,4.57,19-01-rata,vrancea,5635,600,296,932,1489,1028,1290,19-01-varsta,2019,1,201901
alba,5673,677,848,1605,1255,124,889,275,19-02-educatie,alba,5673,2467,3206,1992,977,1015,3681,1490,2191,19-02-medii,alba,5673,2467,3206,1782,3891,3.37,3.22,3.49,19-02-rata,alba,5673,588,345,1098,1599,985,1058,19-02-varsta,2019,2,201902
arad,2937,465,882,620,651,41,97,181,19-02-educatie,arad,2937,1448,1489,1007,529,478,1930,919,1011,19-02-medii,arad,2937,1448,1489,792,2145,3.37,3.22,3.49,19-02-rata,arad,2937,302,131,457,771,563,713,19-02-varsta,2019,2,201902
arges,8391,803,2096,2714,1125,93,1215,345,19-02-educatie,arges,8391,3776,4615,1305,713,592,7086,3063,4023,19-02-medii,arges,8391,3776,4615,1988,6403,3.37,3.22,3.49,19-02-rata,arges,8391,803,473,1674,2386,1521,1534,19-02-varsta,2019,2,201902
bacau,12574,2300,1167,4122,3184,79,1442,280,19-02-educatie,bacau,12574,4982,7592,2958,1284,1674,9616,3698,5918,19-02-medii,bacau,12574,4982,7592,1932,10642,3.37,3.22,3.49,19-02-rata,bacau,12574,1092,1497,2412,2925,2284,2364,19-02-varsta,2019,2,201902
bihor,3227,660,487,519,661,69,432,399,19-02-educatie,bihor,3227,1667,1560,1043,589,454,2184,1078,1106,19-02-medii,bihor,3227,1667,1560,1396,1831,3.37,3.22,3.49,19-02-rata,bihor,3227,303,180,610,895,676,563,19-02-varsta,2019,2,201902
bistrita,4060,240,356,1337,1010,84,814,219,19-02-educatie,bistrita,4060,2040,2020,1368,840,528,2692,1200,1492,19-02-medii,bistrita,4060,2040,2020,1876,2184,3.37,3.22,3.49,19-02-rata,bistrita,4060,494,222,760,1082,797,705,19-02-varsta,2019,2,201902
botosani,4331,170,1249,1273,686,85,738,130,19-02-educatie,botosani,4331,1710,2621,1411,612,799,2920,1098,1822,19-02-medii,botosani,4331,1710,2621,1086,3245,3.37,3.22,3.49,19-02-rata,botosani,4331,375,176,654,1335,771,1020,19-02-varsta,2019,2,201902
braila,5359,808,1304,1965,494,60,577,151,19-02-educatie,braila,5359,2068,3291,1330,577,753,4029,1491,2538,19-02-medii,braila,5359,2068,3291,846,4513,3.37,3.22,3.49,19-02-rata,braila,5359,596,280,931,1658,721,1173,19-02-varsta,2019,2,201902
brasov,5967,1476,1314,1540,694,59,602,282,19-02-educatie,brasov,5967,2687,3280,1700,890,810,4267,1797,2470,19-02-medii,brasov,5967,2687,3280,1017,4950,3.37,3.22,3.49,19-02-rata,brasov,5967,654,426,1374,1459,992,1062,19-02-varsta,2019,2,201902
bucuresti,15661,36,136,2682,5298,295,2794,4420,19-02-educatie,buc,15661,8367,7294,15661,8367,7294,0,0,0,19-02-medii,buc,15661,8367,7294,1930,13731,3.37,3.22,3.49,19-02-rata,buc,15661,207,1375,3944,4568,2849,2718,19-02-varsta,2019,2,201902
buzau,12298,2444,2618,4105,1129,67,1814,121,19-02-educatie,buzau,12298,4827,7471,2059,969,1090,10239,3858,6381,19-02-medii,buzau,12298,4827,7471,1499,10799,3.37,3.22,3.49,19-02-rata,buzau,12298,843,527,2181,3749,2188,2810,19-02-varsta,2019,2,201902
calarasi,3889,476,1004,1277,735,38,282,77,19-02-educatie,calarasi,3889,1786,2103,800,381,419,3089,1405,1684,19-02-medii,calarasi,3889,1786,2103,595,3294,3.37,3.22,3.49,19-02-rata,calarasi,3889,455,185,783,1050,641,775,19-02-varsta,2019,2,201902
caras,3523,574,383,800,895,77,604,190,19-02-educatie,caras,3523,1535,1988,1421,642,779,2102,893,1209,19-02-medii,cara?,3523,1535,1988,1234,2289,3.37,3.22,3.49,19-02-rata,caras,3523,315,170,606,990,698,744,19-02-varsta,2019,2,201902
cluj,4751,932,627,1088,840,101,715,448,19-02-educatie,cluj,4751,2393,2358,2086,1235,851,2665,1158,1507,19-02-medii,cluj,4751,2393,2358,1423,3328,3.37,3.22,3.49,19-02-rata,cluj,4751,520,311,938,1291,840,851,19-02-varsta,2019,2,201902
constanta,8122,954,1169,2443,1715,91,1283,467,19-02-educatie,constanta,8122,4934,3188,4198,2896,1302,3924,2038,1886,19-02-medii,constanta,8122,4934,3188,3799,4323,3.37,3.22,3.49,19-02-rata,constanta,8122,605,337,1435,2321,1723,1701,19-02-varsta,2019,2,201902
covasna,3091,550,1212,673,310,41,233,72,19-02-educatie,covasna,3091,1378,1713,792,380,412,2299,998,1301,19-02-medii,covasna,3091,1378,1713,487,2604,3.37,3.22,3.49,19-02-rata,covasna,3091,547,222,684,783,405,450,19-02-varsta,2019,2,201902
dambovita,7161,783,1403,2071,1684,65,936,219,19-02-educatie,dambovita,7161,3382,3779,1114,589,525,6047,2793,3254,19-02-medii,dambovita,7161,3382,3779,919,6242,3.37,3.22,3.49,19-02-rata,dambovita,7161,1207,326,1045,1688,1267,1628,19-02-varsta,2019,2,201902
dolj,20178,936,6754,5629,3263,114,3081,401,19-02-educatie,dolj,20178,8164,12014,2969,1530,1439,17209,6634,10575,19-02-medii,dolj,20178,8164,12014,2469,17709,3.37,3.22,3.49,19-02-rata,dolj,20178,1692,1125,3689,6046,3677,3949,19-02-varsta,2019,2,201902
galati,11718,1548,2327,4897,1415,157,1065,309,19-02-educatie,galati,11718,4994,6724,2008,1129,879,9710,3865,5845,19-02-medii,galati,11718,4994,6724,1506,10212,3.37,3.22,3.49,19-02-rata,galati,11718,717,413,1831,3728,2302,2727,19-02-varsta,2019,2,201902
giurgiu,1941,261,308,645,463,30,163,71,19-02-educatie,giurgiu,1941,1107,834,603,384,219,1338,723,615,19-02-medii,giurgiu,1941,1107,834,465,1476,3.37,3.22,3.49,19-02-rata,giurgiu,1941,252,99,336,479,377,398,19-02-varsta,2019,2,201902
gorj,5814,464,363,1665,1939,167,884,332,19-02-educatie,gorj,5814,2597,3217,1886,978,908,3928,1619,2309,19-02-medii,gorj,5814,2597,3217,1924,3890,3.37,3.22,3.49,19-02-rata,gorj,5814,565,265,938,1637,958,1451,19-02-varsta,2019,2,201902
harghita,5625,1327,1365,1088,878,72,679,216,19-02-educatie,harghita,5625,2412,3213,1734,846,888,3891,1566,2325,19-02-medii,harghita,5625,2412,3213,1514,4111,3.37,3.22,3.49,19-02-rata,harghita,5625,803,408,1263,1504,813,834,19-02-varsta,2019,2,201902
hunedoara,6340,647,475,1778,1651,123,1132,534,19-02-educatie,hunedoara,6340,3165,3175,4275,2157,2118,2065,1008,1057,19-02-medii,hunedoara,6340,3165,3175,2942,3398,3.37,3.22,3.49,19-02-rata,hunedoara,6340,550,323,1086,2195,1154,1032,19-02-varsta,2019,2,201902
ialomita,5262,452,1173,1822,995,49,714,57,19-02-educatie,ialomita,5262,2197,3065,1593,745,848,3669,1452,2217,19-02-medii,ialomita,5262,2197,3065,1267,3995,3.37,3.22,3.49,19-02-rata,ialomita,5262,400,214,885,1615,1009,1139,19-02-varsta,2019,2,201902
iasi,8860,698,1825,3146,643,65,2214,269,19-02-educatie,iasi,8860,3765,5095,1334,678,656,7526,3087,4439,19-02-medii,iasi,8860,3765,5095,1025,7835,3.37,3.22,3.49,19-02-rata,iasi,8860,694,228,1322,2544,1753,2319,19-02-varsta,2019,2,201902
ilfov,1065,138,322,245,190,9,77,84,19-02-educatie,ilfov,1065,570,495,201,119,82,864,451,413,19-02-medii,ilfov,1065,570,495,307,758,3.37,3.22,3.49,19-02-rata,ilfov,1065,222,49,193,286,137,178,19-02-varsta,2019,2,201902
maramures,6336,158,2936,1231,965,107,621,318,19-02-educatie,maramures,6336,3083,3253,3176,1595,1581,3160,1488,1672,19-02-medii,maramures,6336,3083,3253,1331,5005,3.37,3.22,3.49,19-02-rata,maramures,6336,1090,449,1218,1698,1000,881,19-02-varsta,2019,2,201902
mehedinti,7821,0,1669,3763,1295,57,918,119,19-02-educatie,mehedinti,7821,3134,4687,1433,690,743,6388,2444,3944,19-02-medii,mehedinti,7821,3134,4687,1370,6451,3.37,3.22,3.49,19-02-rata,mehedinti,7821,512,272,1756,2684,1194,1403,19-02-varsta,2019,2,201902
mures,6857,1227,2500,1603,574,76,710,167,19-02-educatie,mures,6857,2842,4015,1236,599,637,5621,2243,3378,19-02-medii,mures,6857,2842,4015,1106,5751,3.37,3.22,3.49,19-02-rata,mures,6857,1004,529,1637,1817,940,930,19-02-varsta,2019,2,201902
neamt,8428,988,1398,2620,1634,106,1453,229,19-02-educatie,neamt,8428,3495,4933,1500,736,764,6928,2759,4169,19-02-medii,neamt,8428,3495,4933,1806,6622,3.37,3.22,3.49,19-02-rata,neamt,8428,805,409,1445,2471,1581,1717,19-02-varsta,2019,2,201902
olt,9976,2304,872,3358,2526,96,782,38,19-02-educatie,olt,9976,4118,5858,2024,1011,1013,7952,3107,4845,19-02-medii,olt,9976,4118,5858,1552,8424,3.37,3.22,3.49,19-02-rata,olt,9976,845,435,1678,3015,1826,2177,19-02-varsta,2019,2,201902
prahova,7308,558,1785,1732,1363,157,1270,443,19-02-educatie,prahova,7308,3490,3818,2311,1237,1074,4997,2253,2744,19-02-medii,prahova,7308,3490,3818,2469,4839,3.37,3.22,3.49,19-02-rata,prahova,7308,655,325,1292,2218,1249,1569,19-02-varsta,2019,2,201902
salaj,4755,640,1426,1215,879,73,359,163,19-02-educatie,salaj,4755,1892,2863,928,465,463,3827,1427,2400,19-02-medii,salaj,4755,1892,2863,870,3885,3.37,3.22,3.49,19-02-rata,salaj,4755,716,364,986,1219,760,710,19-02-varsta,2019,2,201902
satumare,3919,488,1780,1034,248,11,283,75,19-02-educatie,satumare,3919,1671,2248,772,380,392,3147,1291,1856,19-02-medii,satum,3919,1671,2248,582,3337,3.37,3.22,3.49,19-02-rata,satumare,3919,462,269,976,1136,541,535,19-02-varsta,2019,2,201902
sibiu,3695,528,1009,862,625,47,383,241,19-02-educatie,sibiu,3695,1664,2031,1184,574,610,2511,1090,1421,19-02-medii,sibiu,3695,1664,2031,1093,2602,3.37,3.22,3.49,19-02-rata,sibiu,3695,397,252,735,984,594,733,19-02-varsta,2019,2,201902
suceava,11941,840,2500,3536,1948,228,2492,397,19-02-educatie,suceava,11941,4956,6985,3167,1475,1692,8774,3481,5293,19-02-medii,suceava,11941,4956,6985,3471,8470,3.37,3.22,3.49,19-02-rata,suceava,11941,1687,831,2299,3338,1712,2074,19-02-varsta,2019,2,201902
teleorman,11289,528,1393,5841,1972,69,1432,54,19-02-educatie,teleorman,11289,4628,6661,2552,1268,1284,8737,3360,5377,19-02-medii,teleorman,11289,4628,6661,1665,9624,3.37,3.22,3.49,19-02-rata,teleorman,11289,847,594,1987,3222,2269,2370,19-02-varsta,2019,2,201902
timis,2781,444,259,522,569,43,534,410,19-02-educatie,timis,2781,1448,1333,1290,715,575,1491,733,758,19-02-medii,timis,2781,1448,1333,1368,1413,3.37,3.22,3.49,19-02-rata,timis,2781,237,105,541,887,475,536,19-02-varsta,2019,2,201902
tulcea,3250,0,575,1704,680,0,263,28,19-02-educatie,tulcea,3250,1406,1844,831,464,367,2419,942,1477,19-02-medii,tulcea,3250,1406,1844,985,2265,3.37,3.22,3.49,19-02-rata,tulcea,3250,496,200,521,783,635,615,19-02-varsta,2019,2,201902
valcea,5270,243,571,1457,1680,178,795,346,19-02-educatie,valcea,5270,2527,2743,1857,995,862,3413,1532,1881,19-02-medii,valcea,5270,2527,2743,1874,3396,3.37,3.22,3.49,19-02-rata,valcea,5270,476,278,979,1571,1100,866,19-02-varsta,2019,2,201902
vaslui,11584,462,2243,4411,1953,66,2365,84,19-02-educatie,vaslui,11584,4436,7148,1438,642,796,10146,3794,6352,19-02-medii,vaslui,11584,4436,7148,1170,10414,3.37,3.22,3.49,19-02-rata,vaslui,11584,593,342,1965,4051,2240,2393,19-02-varsta,2019,2,201902
vrancea,5540,494,1534,1885,808,68,619,132,19-02-educatie,vrancea,5540,2261,3279,1089,488,601,4451,1773,2678,19-02-medii,vrancea,5540,2261,3279,827,4713,3.37,3.22,3.49,19-02-rata,vrancea,5540,548,292,906,1490,1024,1280,19-02-varsta,2019,2,201902
alba,5294,715,765,1658,970,53,882,251,19-03-educatie,alba,5294,2288,3006,1894,949,945,3400,1339,2061,19-03-medii,alba,5294,2288,3006,1585,3709,3.15,2.99,3.27,19-03-rata,alba,5294,506,328,1034,1506,926,994,19-03-varsta,2019,3,201903
arad,2797,453,842,597,438,40,259,168,19-03-educatie,arad,2797,1367,1430,936,497,439,1861,870,991,19-03-medii,arad,2797,1367,1430,721,2076,3.15,2.99,3.27,19-03-rata,arad,2797,297,118,408,735,543,696,19-03-varsta,2019,3,201903
arges,7992,767,2002,2600,1074,92,1133,324,19-03-educatie,arges,7992,3662,4330,1247,689,558,6745,2973,3772,19-03-medii,arges,7992,3662,4330,1876,6116,3.15,2.99,3.27,19-03-rata,arges,7992,681,432,1563,2303,1477,1536,19-03-varsta,2019,3,201903
bacau,12133,1964,3061,4087,1321,67,1392,241,19-03-educatie,bacau,12133,4862,7271,2886,1236,1650,9247,3626,5621,19-03-medii,bacau,12133,4862,7271,1687,10446,3.15,2.99,3.27,19-03-rata,bacau,12133,911,620,1913,3105,2686,2898,19-03-varsta,2019,3,201903
bihor,3077,551,436,570,650,70,412,388,19-03-educatie,bihor,3077,1599,1478,1099,635,464,1978,964,1014,19-03-medii,bihor,3077,1599,1478,1367,1710,3.15,2.99,3.27,19-03-rata,bihor,3077,265,162,564,846,684,556,19-03-varsta,2019,3,201903
bistrita,3855,309,388,1325,833,85,694,221,19-03-educatie,bistrita,3855,1923,1932,1340,821,519,2515,1102,1413,19-03-medii,bistrita,3855,1923,1932,1714,2141,3.15,2.99,3.27,19-03-rata,bistrita,3855,411,209,722,1031,794,688,19-03-varsta,2019,3,201903
botosani,4166,183,1237,1243,554,66,761,122,19-03-educatie,botosani,4166,1684,2482,1367,603,764,2799,1081,1718,19-03-medii,botosani,4166,1684,2482,960,3206,3.15,2.99,3.27,19-03-rata,botosani,4166,321,165,630,1303,743,1004,19-03-varsta,2019,3,201903
braila,5167,807,1261,1931,426,52,553,137,19-03-educatie,braila,5167,2025,3142,1279,576,703,3888,1449,2439,19-03-medii,braila,5167,2025,3142,699,4468,3.15,2.99,3.27,19-03-rata,braila,5167,525,265,922,1574,720,1161,19-03-varsta,2019,3,201903
brasov,5764,1435,1295,1487,619,61,588,279,19-03-educatie,brasov,5764,2606,3158,1671,884,787,4093,1722,2371,19-03-medii,brasov,5764,2606,3158,943,4821,3.15,2.99,3.27,19-03-rata,brasov,5764,596,407,1297,1427,977,1060,19-03-varsta,2019,3,201903
bucuresti,15650,41,137,2672,5326,296,2795,4383,19-03-educatie,buc,15650,8375,7275,15650,8375,7275,0,0,0,19-03-medii,buc,15650,8375,7275,1934,13716,3.15,2.99,3.27,19-03-rata,buc,15650,197,1363,3933,4591,2844,2722,19-03-varsta,2019,3,201903
buzau,11895,2524,2611,4036,859,66,1688,111,19-03-educatie,buzau,11895,4696,7199,1947,931,1016,9948,3765,6183,19-03-medii,buzau,11895,4696,7199,1269,10626,3.15,2.99,3.27,19-03-rata,buzau,11895,741,501,2120,3640,2140,2753,19-03-varsta,2019,3,201903
calarasi,3707,462,999,1316,455,33,379,63,19-03-educatie,calarasi,3707,1736,1971,760,366,394,2947,1370,1577,19-03-medii,calarasi,3707,1736,1971,499,3208,3.15,2.99,3.27,19-03-rata,calarasi,3707,441,180,745,995,616,730,19-03-varsta,2019,3,201903
caras,3512,771,403,799,782,70,495,192,19-03-educatie,caras,3512,1526,1986,1464,663,801,2048,863,1185,19-03-medii,cara?,3512,1526,1986,1144,2368,3.15,2.99,3.27,19-03-rata,caras,3512,310,180,571,994,699,758,19-03-varsta,2019,3,201903
cluj,4715,972,663,1103,735,93,727,422,19-03-educatie,cluj,4715,2353,2362,1986,1181,805,2729,1172,1557,19-03-medii,cluj,4715,2353,2362,1246,3469,3.15,2.99,3.27,19-03-rata,cluj,4715,448,300,923,1284,879,881,19-03-varsta,2019,3,201903
constanta,7759,928,1267,2455,1438,81,1122,468,19-03-educatie,constanta,7759,4693,3066,3996,2760,1236,3763,1933,1830,19-03-medii,constanta,7759,4693,3066,3486,4273,3.15,2.99,3.27,19-03-rata,constanta,7759,593,313,1335,2216,1629,1673,19-03-varsta,2019,3,201903
covasna,2961,525,1183,656,286,32,222,57,19-03-educatie,covasna,2961,1319,1642,762,376,386,2199,943,1256,19-03-medii,covasna,2961,1319,1642,435,2526,3.15,2.99,3.27,19-03-rata,covasna,2961,509,215,650,758,397,432,19-03-varsta,2019,3,201903
dambovita,7046,780,1393,2060,1646,59,891,217,19-03-educatie,dambovita,7046,3328,3718,1108,583,525,5938,2745,3193,19-03-medii,dambovita,7046,3328,3718,864,6182,3.15,2.99,3.27,19-03-rata,dambovita,7046,1136,321,1027,1682,1262,1618,19-03-varsta,2019,3,201903
dolj,19758,3228,6678,5515,1590,131,2223,393,19-03-educatie,dolj,19758,8071,11687,2926,1530,1396,16832,6541,10291,19-03-medii,dolj,19758,8071,11687,2248,17510,3.15,2.99,3.27,19-03-rata,dolj,19758,1582,1124,3597,5963,3624,3868,19-03-varsta,2019,3,201903
galati,11368,1516,2319,4827,1290,129,983,304,19-03-educatie,galati,11368,4830,6538,1844,1011,833,9524,3819,5705,19-03-medii,galati,11368,4830,6538,1332,10036,3.15,2.99,3.27,19-03-rata,galati,11368,659,402,1765,3593,2244,2705,19-03-varsta,2019,3,201903
giurgiu,1860,262,295,633,432,21,152,65,19-03-educatie,giurgiu,1860,1066,794,554,368,186,1306,698,608,19-03-medii,giurgiu,1860,1066,794,399,1461,3.15,2.99,3.27,19-03-rata,giurgiu,1860,232,97,306,443,371,411,19-03-varsta,2019,3,201903
gorj,5457,503,347,1645,1419,171,1075,297,19-03-educatie,gorj,5457,2484,2973,1647,906,741,3810,1578,2232,19-03-medii,gorj,5457,2484,2973,1731,3726,3.15,2.99,3.27,19-03-rata,gorj,5457,522,225,881,1512,899,1418,19-03-varsta,2019,3,201903
harghita,5428,1333,1351,1061,831,62,588,202,19-03-educatie,harghita,5428,2322,3106,1638,805,833,3790,1517,2273,19-03-medii,harghita,5428,2322,3106,1377,4051,3.15,2.99,3.27,19-03-rata,harghita,5428,707,392,1237,1482,784,826,19-03-varsta,2019,3,201903
hunedoara,6227,647,475,1778,1547,118,1132,530,19-03-educatie,hunedoara,6227,3163,3064,4228,2182,2046,1999,981,1018,19-03-medii,hunedoara,6227,3163,3064,2849,3378,3.15,2.99,3.27,19-03-rata,hunedoara,6227,526,301,1085,2130,1154,1031,19-03-varsta,2019,3,201903
ialomita,5013,563,1190,1774,484,57,892,53,19-03-educatie,ialomita,5013,2135,2878,1524,731,793,3489,1404,2085,19-03-medii,ialomita,5013,2135,2878,1025,3988,3.15,2.99,3.27,19-03-rata,ialomita,5013,364,202,830,1541,954,1122,19-03-varsta,2019,3,201903
iasi,8690,707,1824,3114,594,62,2114,275,19-03-educatie,iasi,8690,3735,4955,1262,638,624,7428,3097,4331,19-03-medii,iasi,8690,3735,4955,899,7791,3.15,2.99,3.27,19-03-rata,iasi,8690,642,226,1293,2524,1737,2268,19-03-varsta,2019,3,201903
ilfov,1032,149,334,213,176,5,72,83,19-03-educatie,ilfov,1032,548,484,193,113,80,839,435,404,19-03-medii,ilfov,1032,548,484,306,726,3.15,2.99,3.27,19-03-rata,ilfov,1032,188,44,190,294,140,176,19-03-varsta,2019,3,201903
maramures,6356,149,2852,1350,920,106,672,307,19-03-educatie,maramures,6356,3095,3261,3215,1588,1627,3141,1507,1634,19-03-medii,maramures,6356,3095,3261,1300,5056,3.15,2.99,3.27,19-03-rata,maramures,6356,1058,434,1205,1679,1011,969,19-03-varsta,2019,3,201903
mehedinti,7509,0,1619,3650,1184,52,890,114,19-03-educatie,mehedinti,7509,3039,4470,1306,614,692,6203,2425,3778,19-03-medii,mehedinti,7509,3039,4470,1247,6262,3.15,2.99,3.27,19-03-rata,mehedinti,7509,412,249,1709,2639,1148,1352,19-03-varsta,2019,3,201903
mures,6559,1304,2258,1647,468,73,660,149,19-03-educatie,mures,6559,2755,3804,1180,580,600,5379,2175,3204,19-03-medii,mures,6559,2755,3804,992,5567,3.15,2.99,3.27,19-03-rata,mures,6559,973,438,1551,1743,901,953,19-03-varsta,2019,3,201903
neamt,7730,1026,1213,2392,844,76,1974,205,19-03-educatie,neamt,7730,3226,4504,1346,658,688,6384,2568,3816,19-03-medii,neamt,7730,3226,4504,1499,6231,3.15,2.99,3.27,19-03-rata,neamt,7730,714,370,1301,2286,1451,1608,19-03-varsta,2019,3,201903
olt,9349,2495,883,3288,1080,82,1485,36,19-03-educatie,olt,9349,3880,5469,1846,930,916,7503,2950,4553,19-03-medii,olt,9349,3880,5469,1277,8072,3.15,2.99,3.27,19-03-rata,olt,9349,694,393,1556,2856,1743,2107,19-03-varsta,2019,3,201903
prahova,7176,585,1750,1752,1296,145,1234,414,19-03-educatie,prahova,7176,3415,3761,2267,1219,1048,4909,2196,2713,19-03-medii,prahova,7176,3415,3761,2342,4834,3.15,2.99,3.27,19-03-rata,prahova,7176,570,312,1254,2199,1275,1566,19-03-varsta,2019,3,201903
salaj,4679,638,1410,1179,874,64,357,157,19-03-educatie,salaj,4679,1910,2769,918,481,437,3761,1429,2332,19-03-medii,salaj,4679,1910,2769,861,3818,3.15,2.99,3.27,19-03-rata,salaj,4679,677,349,974,1213,758,708,19-03-varsta,2019,3,201903
satumare,3811,481,1754,1017,240,10,240,69,19-03-educatie,satumare,3811,1674,2137,766,385,381,3045,1289,1756,19-03-medii,satum,3811,1674,2137,494,3317,3.15,2.99,3.27,19-03-rata,satumare,3811,447,262,952,1091,526,533,19-03-varsta,2019,3,201903
sibiu,3579,560,987,888,460,35,430,219,19-03-educatie,sibiu,3579,1630,1949,1158,567,591,2421,1063,1358,19-03-medii,sibiu,3579,1630,1949,982,2597,3.15,2.99,3.27,19-03-rata,sibiu,3579,369,234,694,944,608,730,19-03-varsta,2019,3,201903
suceava,11325,1170,2497,3435,1533,219,2136,335,19-03-educatie,suceava,11325,4757,6568,3018,1444,1574,8307,3313,4994,19-03-medii,suceava,11325,4757,6568,3111,8214,3.15,2.99,3.27,19-03-rata,suceava,11325,1456,793,2209,3213,1628,2026,19-03-varsta,2019,3,201903
teleorman,10965,601,1254,5819,1819,61,1361,50,19-03-educatie,teleorman,10965,4602,6363,2481,1245,1236,8484,3357,5127,19-03-medii,teleorman,10965,4602,6363,1462,9503,3.15,2.99,3.27,19-03-rata,teleorman,10965,748,558,1928,3172,2227,2332,19-03-varsta,2019,3,201903
timis,2573,418,230,497,507,38,495,388,19-03-educatie,timis,2573,1325,1248,1301,681,620,1272,644,628,19-03-medii,timis,2573,1325,1248,1251,1322,3.15,2.99,3.27,19-03-rata,timis,2573,214,81,486,823,438,531,19-03-varsta,2019,3,201903
tulcea,2965,0,602,1235,580,0,518,30,19-03-educatie,tulcea,2965,1313,1652,760,414,346,2205,899,1306,19-03-medii,tulcea,2965,1313,1652,810,2155,3.15,2.99,3.27,19-03-rata,tulcea,2965,506,227,520,787,560,365,19-03-varsta,2019,3,201903
valcea,4726,202,539,1333,1191,159,964,338,19-03-educatie,valcea,4726,2341,2385,1707,951,756,3019,1390,1629,19-03-medii,valcea,4726,2341,2385,1836,2890,3.15,2.99,3.27,19-03-rata,valcea,4726,357,233,848,1433,1064,791,19-03-varsta,2019,3,201903
vaslui,11149,627,2199,4260,728,59,3206,70,19-03-educatie,vaslui,11149,4285,6864,1338,609,729,9811,3676,6135,19-03-medii,vaslui,11149,4285,6864,982,10167,3.15,2.99,3.27,19-03-rata,vaslui,11149,517,327,1891,3889,2189,2336,19-03-varsta,2019,3,201903
vrancea,5373,655,1547,1886,531,67,566,121,19-03-educatie,vrancea,5373,2250,3123,1033,480,553,4340,1770,2570,19-03-medii,vrancea,5373,2250,3123,727,4646,3.15,2.99,3.27,19-03-rata,vrancea,5373,529,278,898,1430,1000,1238,19-03-varsta,2019,3,201903
alba,4877,664,730,1535,885,39,790,234,19-04-educatie,alba,4877,2147,2730,1750,878,872,3127,1269,1858,19-04-medii,alba,4877,2147,2730,1470,3407,2.9,2.81,2.97,19-04-rata,alba,4877,430,289,960,1387,864,947,19-04-varsta,2019,4,201904
arad,2563,363,780,583,565,29,81,162,19-04-educatie,arad,2563,1270,1293,843,447,396,1720,823,897,19-04-medii,arad,2563,1270,1293,720,1843,2.9,2.81,2.97,19-04-rata,arad,2563,243,115,357,659,519,670,19-04-varsta,2019,4,201904
arges,7357,709,1826,2414,965,83,1058,302,19-04-educatie,arges,7357,3401,3956,1157,645,512,6200,2756,3444,19-04-medii,arges,7357,3401,3956,1731,5626,2.9,2.81,2.97,19-04-rata,arges,7357,583,392,1423,2103,1397,1459,19-04-varsta,2019,4,201904
bacau,11434,1910,2602,4177,1486,127,819,313,19-04-educatie,bacau,11434,4570,6864,2720,1162,1558,8714,3408,5306,19-04-medii,bacau,11434,4570,6864,1477,9957,2.9,2.81,2.97,19-04-rata,bacau,11434,862,694,1965,3198,2259,2456,19-04-varsta,2019,4,201904
bihor,3095,424,595,604,697,68,328,379,19-04-educatie,bihor,3095,1589,1506,1054,619,435,2041,970,1071,19-04-medii,bihor,3095,1589,1506,1277,1818,2.9,2.81,2.97,19-04-rata,bihor,3095,230,178,585,844,687,571,19-04-varsta,2019,4,201904
